TrackID,Lane,Frame,EpochTime
3,1,12,1757356265.5661197
11,3,55,1757356269.0783784
2,2,61,1757356269.5667293
7,1,99,1757356272.679255
10,1,148,1757356276.704771
48,1,195,1757356280.5631068
40,1,216,1757356282.2718358
46,1,247,1757356284.8017957
74,1,272,1757356286.9182594
31,2,278,1757356287.4114645
50,1,285,1757356287.9972577
63,1,336,1757356292.1857965
47,2,336,1757356292.1857965
66,1,361,1757356294.246352
60,2,383,1757356296.0405788
77,1,409,1757356298.124993
78,2,434,1757356300.1057873
93,1,457,1757356301.9351728
115,1,533,1757356308.0180945
124,1,594,1757356313.0327415
123,1,597,1757356313.276039
131,1,641,1757356316.9619622
137,1,665,1757356318.9491541
122,2,676,1757356319.8715875
154,1,734,1757356324.9048944
150,2,740,1757356325.4154923
152,1,798,1757356330.3536212
165,1,807,1757356331.141545
170,1,815,1757356331.868111
207,3,854,1757356335.3588977
183,1,867,1757356336.496083
160,2,903,1757356339.680488
187,1,945,1757356343.3669035
228,3,992,1757356347.6003077
176,1,1046,1757356352.4171886
235,3,1051,1757356352.8545485
216,1,1109,1757356358.1420443
249,1,1111,1757356358.3259404
196,1,1139,1757356360.820083
178,2,1163,1757356362.9809523
226,1,1195,1757356365.8518252
209,1,1201,1757356366.4244199
277,3,1205,1757356366.8232634
224,1,1270,1757356372.729196
238,1,1285,1757356374.098428
254,1,1346,1757356379.811261
285,1,1371,1757356382.195426
300,3,1379,1757356382.9211328
279,1,1434,1757356387.9358985
296,1,1462,1757356390.7320237
330,3,1462,1757356390.7320237
295,1,1495,1757356393.8244293
352,3,1540,1757356397.8910584
323,1,1541,1757356397.9761782
299,1,1584,1757356401.8682847
367,3,1593,1757356402.7725275
343,1,1604,1757356404.0190098
347,1,1664,1757356409.9439259
309,1,1685,1757356411.879288
185,2,1692,1757356412.5345278
366,1,1714,1757356414.5981472
208,2,1759,1757356418.7167232
373,1,1761,1757356418.8959427
402,2,1767,1757356419.4245281
319,1,1794,1757356421.8306768
379,1,1820,1757356424.1685023
377,2,1842,1757356426.1429598
416,1,1911,1757356432.33391
413,2,1920,1757356433.1367993
417,2,1997,1757356440.0496643
438,1,2006,1757356440.8798432
455,1,2049,1757356444.7994766
428,2,2053,1757356445.1559966
480,1,2087,1757356448.2447715
446,2,2099,1757356449.3262422
433,1,2144,1757356453.3886876
449,1,2149,1757356453.8352308
495,1,2149,1757356453.8362327
453,2,2154,1757356454.2824128
459,2,2209,1757356459.2137723
441,1,2233,1757356461.3651552
467,1,2243,1757356462.2540555
481,2,2265,1757356464.2208955
451,1,2293,1757356466.7410972
489,1,2293,1757356466.7410972
494,1,2351,1757356471.9089706
499,1,2434,1757356479.4491334
551,1,2462,1757356482.3529453
531,2,2474,1757356483.6256092
545,1,2502,1757356486.6020782
